TS,Datetime,duration(days)
1,37634,0
2,37646,12
3,37658,24
4,37670,36
5,37682,48
6,37694,60
7,37706,72
8,37718,84
9,37730,96
10,37742,108
11,37834,200
12,37926,292
13,37987,353
14,38108,474
15,38200,566
16,38292,658
17,38353,719
18,38473,839
19,38565,931
20,38657,1023
21,38718,1084
22,38838,1204
23,38930,1296
24,39022,1388
25,39083,1449
26,39203,1569
27,39295,1661
28,39387,1753
29,39448,1814
30,39569,1935
31,39661,2027
32,39753,2119
33,39814,2180
34,39934,2300
35,40026,2392
36,40118,2484
37,40179,2545
38,40299,2665
39,40391,2757
40,40483,2849
41,40544,2910
42,40664,3030
43,40756,3122
44,40848,3214
45,40909,3275
46,41030,3396
47,41122,3488
48,41214,3580
49,41275,3641
50,41395,3761
51,41487,3853
52,41579,3945
53,41640,4006
54,41760,4126
55,41852,4218
56,41944,4310
57,42005,4371
58,42125,4491
59,42217,4583
60,42309,4675
61,42370,4736
62,42491,4857
63,42583,4949
64,42675,5041
65,42736,5102
66,42856,5222
67,42948,5314
68,43040,5406
69,43101,5467
70,43221,5587
71,43313,5679
72,43405,5771
73,43466,5832
74,43586,5952
75,43678,6044
76,43770,6136
77,43831,6197
